time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
32705,4331,14210,229,150
32756,4337,14229,229,150
32808,4344,14255,229,150
32859,4350,14281,229,150
32910,4358,14299,229,150
32961,4365,14318,229,150
33011,4370,14336,229,150
33062,4375,14354,229,150
33112,4379,14378,229,150
33163,4384,14401,229,150
33215,4391,14424,229,150
33266,4397,14453,229,150
33317,4405,14475,229,150
33370,4411,14499,229,149
33420,4417,14516,229,150
33472,4424,14534,229,150
33522,4429,14552,229,150
33572,4436,14564,229,150
33623,4444,14586,229,150
33673,4448,14611,229,150
33723,4454,14629,229,150
33774,4462,14653,229,150
33824,4470,14667,229,150
33884,4476,14683,229,150
33934,4482,14702,229,150
33985,4488,14728,229,150
34036,4495,14743,229,150
34086,4501,14759,229,150
34138,4507,14779,229,150
34189,4515,14797,229,150
34241,4521,14810,229,150
34294,4530,14839,229,150
34344,4535,14859,229,150
34394,4542,14882,229,150
34447,4548,14904,229,149
34498,4556,14919,229,150
34548,4564,14939,229,150
34598,4569,14960,229,150
34648,4578,14985,229,150
34702,4586,15009,229,150
34752,4593,15030,229,150
34804,4599,15060,229,150
34861,4608,15080,229,150
34917,4614,15096,229,150
34973,4621,15121,229,148
35025,4630,15134,229,149
35078,4638,15151,229,150
35128,4644,15163,229,150
35179,4650,15176,229,150
35229,4656,15194,229,150
35279,4662,15210,229,150
35329,4666,15237,229,150
35379,4673,15251,229,150
35433,4680,15278,229,150
35484,4687,15310,229,150
35535,4692,15328,229,150
35587,4703,15350,229,150
35637,4710,15370,229,150
35689,4717,15392,229,150
35739,4725,15411,229,150
35790,4731,15433,229,150
35840,4738,15503,229,150
35892,4745,15528,229,150
35942,4750,15553,229,150
35994,4757,15569,229,150
36044,4764,15601,229,150
36096,4772,15636,229,150
36147,4779,15658,229,150
36197,4786,15675,229,150
36247,4790,15703,229,150
36297,4795,15724,229,150
36351,4802,15742,229,150
36401,4810,15764,229,150
36459,4818,15791,229,150
36509,4824,15812,229,150
36559,4830,15839,229,150
36613,4836,15862,229,150
36665,4845,15879,229,150
36721,4854,15905,229,150
36771,4859,15929,229,150
36821,4866,15954,229,150
36873,4871,15981,229,150
36924,4875,16004,229,150
36974,4880,16029,229,150
37024,4885,16054,229,150
37074,4893,16079,229,150
37125,4899,16089,229,150
37176,4907,16113,229,150
37228,4913,16130,229,150
37278,4918,16152,229,150
37330,4926,16173,229,150
37384,4932,16204,229,150
37435,4939,16224,229,150
37485,4947,16243,229,150
37535,4952,16268,229,150
37585,4956,16295,229,150
37640,4963,16314,229,149
37690,4970,16340,229,150
37743,4978,16360,229,150
37793,4984,16386,229,150
37844,4990,16403,229,150
37894,4997,16421,229,150
37944,5004,16444,229,150
37995,5010,16467,229,149
38046,5017,16489,229,150
38098,5024,16518,229,150
38148,5031,16538,229,150
38203,5036,16570,229,150
38254,5043,16591,229,150
38305,5051,16609,229,150
38357,5058,16628,229,150
38410,5069,16647,229,150
38465,5077,16666,229,150
38515,5084,16682,229,150
38566,5091,16702,229,150
38618,5099,16718,229,150
38668,5105,16734,229,150
38719,5111,16764,229,150
38771,5116,16784,229,150
38821,5123,16805,229,150
38871,5128,16825,229,150
38924,5135,16837,229,150
38976,5143,16867,229,150
39026,5149,16884,229,150
39077,5154,16907,229,150
39128,5162,16932,229,149
39179,5168,16960,229,150
39234,5174,16986,229,150
39284,5186,17002,229,150
39334,5192,17012,229,150
39384,5200,17035,229,150
39434,5205,17066,229,150
39485,5209,17101,229,150
39541,5217,17122,229,150
39591,5221,17143,229,150
39642,5227,17171,229,150
39694,5233,17191,229,150
39745,5238,17215,229,150
39795,5246,17228,229,150
39848,5254,17242,229,150
39898,5263,17260,229,150
39948,5269,17273,229,150
40005,5274,17296,229,150
40056,5280,17324,229,149
40107,5286,17350,229,150
40157,5292,17373,229,150
40212,5298,17397,229,150
40262,5304,17419,229,150
40312,5311,17436,229,150
40364,5318,17466,229,150
40416,5324,17495,229,150
40468,5330,17521,229,150
40522,5336,17535,229,150
40575,5342,17552,229,150
40625,5349,17573,229,150
40679,5356,17595,229,150
40729,5363,17611,229,149
40780,5373,17629,229,150
40830,5382,17646,229,150
40880,5389,17660,229,150
40930,5396,17688,229,150
40982,5402,17708,229,150
41032,5407,17740,229,150
41088,5414,17759,229,149
41139,5420,17787,229,150
41189,5426,17799,229,150
41241,5432,17820,229,150
41292,5439,17844,229,150
41342,5448,17858,229,150
41392,5454,17883,229,150
41443,5459,17914,229,150
41494,5467,17936,229,150
41547,5476,17955,229,150
41597,5483,17980,229,150
41651,5491,17994,229,150
41703,5498,18019,229,150
41753,5503,18043,229,150
41806,5510,18055,229,150
