time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
52024,7800,0,21954,0
52074,7800,0,21979,0
52126,7806,0,22003,0
52179,7819,0,22014,1
52232,7831,0,22033,1
52282,7846,0,22050,1
52334,7856,0,22062,1
52386,7870,0,22075,1
52436,7884,0,22089,2
52489,7902,0,22098,1
52541,7917,0,22115,0
52592,7936,0,22128,1
52644,7950,0,22140,0
52697,7950,0,22159,0
52747,7950,0,22187,0
52800,7950,0,22217,0
52852,7950,0,22237,0
52906,7950,0,22271,0
52956,7950,0,22297,0
53008,7950,0,22326,0
53059,7950,0,22353,0
53109,7953,0,22377,0
53159,7960,0,22396,0
53209,7975,0,22397,2
53259,7989,0,22406,2
53310,8000,0,22430,1
53360,8013,0,22444,1
53410,8026,0,22461,2
53460,8041,0,22482,0
53514,8061,0,22500,1
53564,8072,0,22516,2
53614,8094,0,22520,1
53664,8100,0,22545,0
53715,8100,0,22579,0
53765,8100,0,22598,0
53816,8100,0,22630,0
53868,8100,0,22661,0
53918,8100,0,22691,0
53970,8100,0,22716,0
54021,8100,0,22741,0
54072,8100,0,22770,0
54122,8106,0,22800,0
54175,8114,0,22820,1
54225,8128,0,22884,1
54275,8141,0,22893,0
54325,8153,0,22911,0
54378,8165,0,22939,0
54436,8181,0,22952,1
54486,8199,0,22959,1
54537,8216,0,22972,1
54587,8233,0,22983,4
54638,8250,0,22994,1
54692,8250,0,23031,0
54744,8250,0,23069,0
54794,8250,0,23099,0
54846,8250,0,23129,0
54903,8250,0,23149,0
54965,8250,0,23176,0
55017,8250,0,23203,0
55068,8250,0,23236,0
55121,8256,0,23257,1
55173,8262,0,23278,1
55226,8278,0,23287,1
55277,8292,0,23296,1
